A;Á
æinhueriu;einhverju
kuellde;kveldi
bar;bar
þat;það
til;til
tidenda;tíðinda
at;að
mannz;manns
uar;var
vant;vant
af;af
lide;liði
þeirra;þeirra
ok;og
var;var
þat;það
Tyrker;Tyrkir
sudrmadr;suðurmaður
.;.
Leifr;Leifur
kunne;kunni
þui;því
storilla;stórilla
þuiat;því að
Tyrker;Tyrkir
hafde;hafði
leinge;lengi
verit;verið
med;með
þeim;þeim
fedgum;feðgum
ok;og
elskat;elskað
miog;mjög
Leif;Leif
j;í
barnnæsku;barnæsku
.;.
talde;taldi
Læifr;LEifur
nu;nú
miog;mjög
a;á
hendr;hendur
forunautum;förunautum
sinum;sínum
ok;og
biozst;bjóst
til;til
ferdar;ferðar
at;að
læita;leira
hans;hans
ok;og
xij;tólf
menn;menn
med;með
honum;honum
.;.
en;en
er;er
þeir;þeir
voru;voru
skamt;skammt
komnir;komnir
fra;frá
skala;skála
þa;þá
gek;gekk
Tyrker;Tyrkir
j;í
mot;mót
þeim;þeim
ok;og
uar;var
honum;honum
vel;vel
fagnat;fagnað
.;.
Leifr;Leifur
fann;fann
þat;það
bratt;brátt
at;að
fostra;fóstra
hans;hans
var;var
skapgott;skapgott
.;.
hann;hann
var;var
brattlæitr;brattleitur
ok;og
lauseygr;lauseygur
smaskitligr;smáskítlegur
j;í
andliti;andliti
litill;lítill
uexsti;vexti
ok;og
uesaligr;vesælegur
en;en
jþrottamadr;íþróttalegur
a;á
allzskonar;allskonar
hagleik;hagleik
.;.
Þa;Þá
mællti;mælti
Leifr;Leifur
til;til
hans;hans
.;.
hui;hví
vartu;varstu
suo;svo
sæinn;seinn
fostri;fóstri
minn;minn
ok;og
fraskile;fráskilinn
foruneytinu;föruneytinu
.;.
Hann;Hann
talade;talaði
þa;þá
fyst;fyrst
leinge;lengi
a;á
þyrsku;þýsku
ok;og
skaut;skaut
marga;marga
uega;vega
augunum;augunum
ok;og
gretti;gretti
sig;sig
.;.
en;en
þeir;þeir
skildu;skildu
æigi;eigi
huat;hvað
er;er
hann;hann
sagde;sagði
.;.
hann;hann
