Nv;Nú
biozst;bjóst
Þorualldr;Þorvaldur
til;til
þeirrar;þeirrar
ferdar;ferðar
med;með
xxx;þrjár tigur
manna;manna
med;með
umrade;umráði
Leifs;Leifs
brodur;bróður
sins;síns
.;.
sidan;síðan
biuggu;bjuggu
þeir;þeir
skip;skip
sitt;sitt
ok;og
helldu;héldu
j;í
haf;haf
ok;og
er;er
æinge;engin
frasỏgnn;frásögn
vm;um
ferd;ferð
þeirra;þeirra
fyrr;fyrr
en;en
þeir;þeir
koma;koma
til;til
Vinlandz;Vínlands
til;til
Leifsbuda;Leifsbúða
ok;og
biuggu;bjuggu
þar;þar
vm;um
skip;skip
sitt;sitt
ok;og
satu;sátu
um;um
kyrt;kyrrt
þann;þann
uetr;vetur
ok;og
ueiddu;veiddu
fiska;fiska
til;til
matar;matar
ser;sér
.;.
en;en
vm;um
uorit;vorið
mællti;mælti
Þorvalldr;Þorvaldur
at;að
þeir;þeir
skylldu;skyldu
bua;búa
skip;skip
sitt;sitt
ok;og
skyllde;skyldi
eftirbatr;eftirbátur
skipsins;skipsins
ok;og
nokkurir;nokkrir
menn;menn
med;með
fara;fara
firir;fyrir
uestan;vestan
landit;landið
ok;og
kanna;kanna
þar;þar
vm;um
sumarit;sumarið
.;.
þeim;þeim
syndizst;sýndist
landit;landið
fagurt;fagurt
ok;og
skogótt;skógótt
ok;og
skamt;skammt
mille;milli
skogar;skógar
ok;og
siofar;sjávar
ok;og
huitir;hvítir
sandar;sandar
.;.
þar;þar
var;var
eyiott;eyjótt
miog;mjög
ok;og
grunnsæfui;grunnsævi
mikit;mikið
.;.
þeir;þeir
fundu;fundu
huerge;hvergi
manna;manna
vistir;vistir
ne;né
dyra;dýra
en;en
j;í
eyiu;eyju
æinne;einni
uestarliga;vestarlega
fundu;fundu
þeir;þeir
kornnhialm;kornhjálm
af;af
tre;tré
.;.
æigi;eigi
fundu;fundu
þeir;þeir
flæire;fleiri
mannauerk;mannaverk
ok;og
foru;fóru
aftr;aftur
ok;og
quomu;komu
til;til
Leifsbuda;Leifsbúða
at;að
hausti;hausti
.;.
en;en
at;að
sumri;sumri
ỏdru;öðru
fór;fór
Þorualldr;Þorvaldur
firir;fyrir
austan;austan
med;með
kaupskipit;kaupskipið
ok;og
hit;hið
nyrdra;nyrðra
firir;fyrir
landit;landið
.;.
þa;þá
gerde;gerði
at;að
þeim;þeim
uedr;veður
huast;hvasst
firir;fyrir
anndnese;andnesi
einu;einu
ok;og
rak;rak
þa;þá
þar;þar
upp;upp
ok;og
brutu;brutu
kiolinn;kjölinn
undan;undan
skipinu;skipinu
ok;og
hỏfdu;höfðu
þar;þar
langa;langa
duol;dvöl
ok;og
bættu;bættu
skip;skip
sitt;sitt
.;.
Þa;Þá
mællti;mælti
Þorualldr;Þorvaldur
vit;við
forunauta;förunauta
sina;sína
.;.
nu;nú
uil;vil
ek;ég
at;að
uer;vér
ræisim;reisum
her;hér
upp;upp
kiolinn;kjölinn
a;á
nesinu;nesinu
ok;og
kallim;köllum
Kialarnes;Kjalarnes
.;.
Ok;Og
suo;svo
gerdu;gerður
þeir;þeir
.;.
sidan;síðan
sigla;sigla
þeir;þeir
þadan;þaðan
j;í
braut;braut
ok;og
austr;austur
firir;fyrir
landit;landið
ok;og
inn;inn
j;í
fiardarkiafta;fjarðarkjaft
þa;þá
er;er
þar;þar
uoru;voru
næstir;næstir
ok;og
at;að
hofda;höfða
þeim;þeim
er;er
þar;þar
gek;gekk
fram;fram
hann;hann
var;var
allr;allur
skoge;skógi
uaxinn;vaxinn
.;.
þa;þá
leggia;leggja
þeir;þeir
fram;fram
skip;skip
sin;sín
j;í
lægi;legi
ok;og
skiota;skjóta
bryggium;bryggjum
a;á
land;land
ok;og
geingur;gengur
Þorualldr;Þorvaldur
þar;þar
a;á
land;land
upp;upp
med;með
alla;alla
forunauta;förunauta
sina;sína
.;.
Hann;Hann
mællti;mælti
þa;þá
.;.
her;hér
er;er
fagurt;fagurt
ok;og
her;hér
uillda;vildi
ek;ég
bæ;bæ
minn;minn
ræisa;reisa
.;.
Ganga;Ganga
sidan;síðan
til;til
skips;skips
ok;og
sia;sjá
a;á
sandinum;sandinum
inn;inn
fra;frá
hofdanum;höfðanum
iij;þrjár
hæder;hæðir
ok;og
foru;fóru
til;til
þangat;þangað
ok;og
sea;sjá
þar;þar
hudkeipa;húðkeipa
iij;þrjá
ok;og
iij;þrjá
menn;menn
undir;undir
huerium;hverjum
.;.
Þa;Þá
skiptu;skiptu
þeir;þeir
lide;liði
sinu;sínu
ok;og
hỏfdu;höfðu
hendr;hendur
a;á
þeim;þeim
ollum;öllum
nema;nema
æinn;einn
komzst;komst
j;í
burt;burt
med;með
keip;keip
sinn;sinn
.;.
þeir;þeir
drepa;drepa
hina;hina
viij;átta
ok;og
ganga;ganga
sidan;síðan
aftr;aftur
a;á
hỏfdann;höfðann
ok;og
siazst;sjást
þar;þar
vm;um
ok;og
sia;sjá
inn;inn
j;í
fiordinn;fjörðinn
hæder;hæðir
nokkurar;nokkrar
ok;og
ætludu;ætluðu
þeir;þeir
þat;það
vera;vera
bygdir;byggðir
.;.
eftir;eftir
þat;það
slo;sló
a;á
þa;þá
hofga;höfga
suo;svo
miklum;miklum
at;að
þeir;þeir
mattu;máttu
æigi;eigi
uoku;vöku
hallda;halda
ok;og
sofna;sofna
þeir;þeir
aller;allir
.;.
þa;þá
kom;kom
kall;kall
yfir;yfir
þa;þá
suo;svo
at;að
þeir;þeir
uoknudu;vöknuðu
aller;allir
.;.
suo;svo
segir;segir
kallit;kallið
.;.
uaki;vaki
þu;þú
Þorualldr;Þorvaldur
ok;og
allt;allt
foruneyte;föruneyti
þitt;þitt
ef;ef
þu;þú
vill;vilt
lif;líf
þitt;þitt
hafa;hafa
ok;og
far;far
þu;þú
a;á
skip;skip
þitt;þitt
ok;og
aller;allir
menn;menn
þinir;þínir
ok;og
farit;farið
fra;frá
lande;landi
sem;sem
skiotazst;skjótast
.;.
Þa;Þá
for;fór
innan;innan
eftir;eftir
firdinum;firðinum
vtal;ótal
hudkæipa;húðkeipa
ok;og
lỏgdu;lögðu
at;að
þeim;þeim
.;.
Þorvalldr;Þorvaldur
mællti;mælti
þa;þá
.;.
ver;vér
skulum;skulum
færa;færa
vt;út
a;á
bord;borð
vigfleka;vígfleka
ok;og
veriazst;verjast
sem;sem
bezst;best
en;en
uega;vega
litt;lítt
j;í
mot;mót
.;.
Suo;Svo
gera;gera
þeir;þeir
en;en
skrælingar;skrælingjar
skutu;skutu
a;á
þa;þá
vm;um
stund;stund
en;en
flyia;flýja
sidan;síðan
j;í
burt;burt
sem;sem
akafazst;ákafast
huerr;hver
sem;sem
matti;mátti
.;.
Þa;Þá
spurde;spurði
Þorvalldr;Þorvaldur
menn;menn
sina;sína
ef;ef
þeir;þeir
uære;væru
nokkut;nokkuð
sarir;sárir
.;.
þeir;þeir
kuoduzst;kvöddust
æigi;eigi
sarir;sárir
vera;vera
.;.
ek;ég
hefir;hef
fæingit;fengið
sar;sár
undir;undir
hendi;hendi
segir;segir
hann;hann
ok;og
flo;flaug
ỏr;ör
mille;milli
skipbordzsins;skipborðsins
ok;og
skialldarins;skjaldarins
under;undir
hond;hönd
mer;mér
ok;og
er;er
her;hér
orin;örin
.;.
enn;en
mun;mun
mig;mig
þetta;þetta
til;til
bana;bana
leida;leiða
.;.
nu;nú
ræd;ræð
ek;ég
at;að
þer;þér
buit;búið
ferd;ferð
ydra;yðar
sem;sem
fliotazst;fljótast
aftr;aftur
a;á
læid;leið
en;en
þer;þér
skulut;skuluð
færa;færa
mik;mig
a;á
hofda;höfða
þann;þann
er;er
mer;mér
þotti;þótti
byggiligazst;byggilegast
vera;vera
.;.
ma;má
þat;það
vera;vera
at;að
mer;mér
hafui;hafi
satt;satt
a;á
munn;munn
komit;komið
at;að
ek;ég
muni;muni
þar;þar
bua;búa
a;á
vm;um
stund;stund
.;.
þar;þar
skulu;skuluð
þer;þér
mik;mig
grafa;grafa
ok;og
setia;setja
krossa;krossa
at;að
hofdum;höfðum
mer;mér
ok;og
at;að
fotum;fótum
ok;og
kallit;kallið
þat;það
Krossanes;Krossnes
iafnan;jafnan
sidan;síðan
.;.
Gręnland;Grænland
var;var
þa;þá
kristnnat;kristnað
en;en
þo;þó
andadizst;andaðist
Æirekr;Eiríkur
raude;rauði
firir;fyrir
kristni;kristni
.;.
Nu;Nú
andadizst;andaðist
Þorualldr;Þorvaldur
en;en
þeir;þeir
gerdu;gerðu
allt;allt
eftir;eftir
þui;því
sem;sem
hann;hann
hafde;hafði
mælt;mælt
ok;og
foru;fóru
sidan;síðan
ok;og
hittu;hittu
þar;þar
forunauta;förunauta
sina;sína
ok;og
sỏgdu;sögðu
huorir;hvorir
ỏdrum;öðrum
slik;slík
tidende;tíðindi
sem;sem
vissu;vissu
ok;og
biuggu;bjuggu
þar;þar
þann;þann
uetr;vetur
ok;og
fengu;fengu
ser;sér
vinber;vínber
ok;og
vinvid;vínvið
til;til
skipsins;skipsins
.;.
nu;nú
buazst;búast
(;(
þeir;þeir
);)
þadan;þaðan
vm;um
uorit;vorið
eftir;eftir
til;til
Grenlandz;Grænlands
ok;og
kuomu;komu
skipe;skipi
sinu;sínu
j;í
Æireksfiord;Eiríksfjörð
ok;og
kunnu;kunnu
Læifi;Leifi
at;að
segia;segja
mikil;mikil
tidende;tíðindi
.;.
