Þat;Það
sama;sama
sumar;sumar
kom;kom
skip;skip
af;af
Noregi;Noregi
til;til
Grænlandz;Grænlands
.;.
sa;sá
madr;maður
het;hét
Þorfinnr;Þorfinnur
kallzefnni;karlsefni
er;er
þui;því
skipe;skipi
styrde;stýrði
.;.
hann;hann
var;var
son;sonur
Þordar;Þórðar
hesthofda;hesthöfða
Snorrasonar;Snorrasonar
Þordarsonar;Þórðarsonar
fra;frá
(;(
Hỏfda;Höfða
);)
.;.
Þorfinnr;Þorfinnur
kallzefni;karlsefni
var;var
storaudigr;stórauðugur
at;að
fe;fé
ok;og
var;var
vm;um
uetrinn;veturinn
j;í
Brattahlid;Brattahlíð
med;með
Leifui;Leifi
Æirekssyne;Eiríkssyni
.;.
bratt;brátt
fellde;felldi
hann;hann
hug;hug
til;til
Gudridar;Guðríðar
ok;og
bad;bað
hennar;hennar
en;en
hon;hún
ueik;veik
til;til
Læifs;Leifs
suỏrum;svörum
firir;fyrir
sig;sig
.;.
sidan;síðan
var;var
hon;hún
honum;honum
fostnut;föstnuð
ok;og
gert;gert
brudhlaup;brúðhlaup
þeirra;þeirra
a;á
þeim;þeim
uetri;vetri
.;.
Hin;Hin
sama;sama
var;var
vmræda;umræða
a;á
Uinlandzfỏr;Vínlandsför
sem;sem
fyrr;fyrr
ok;og
fystu;fyrstu
menn;menn
Kallzefni;Karlsefni
miog;mjög
þeirrar;þeirrar
ferdar;ferðar
bæde;bæði
Gudridr;Guðríður
ok;og
adrir;aðrir
menn;menn
.;.
nu;nú
var;var
radin;ráðin
ferd;ferð
hans;hans
ok;og
red;réð
hann;hann
ser;sér
skipveria;skipverja
lx;sex tigur
kalla;kalla
ok;og
konur;konur
v;fimm
þann;þann
maldaga;máldaga
gerdu;gerðu
þeir;þeir
Kallzefni;Karlsefni
ok;og
hasetar;háster
hans;hans
at;að
iofnum;jöfnum
hondum;höndum
skylldi;skyldi
þeir;þeir
hafa;hafa
allt;allt
þat;það
er;er
þeir;þeir
fengi;fengi
til;til
gæda;gæða
.;.
þeir;þeir
hỏfdu;höfðu
med;með
ser;sér
allzkonar;allskonar
fenat;fénað
þuiat;því að
þeir;þeir
ætlodu;ætluðu
at;að
byggia;byggja
landit;landið
ef;ef
þeir;þeir
mętti;mættu
þat;það
.;.
Kallzefni;Karlsefni
bat;bað
Leif;Leif
husa;húsa
a;á
Uinlande;Vínlandi
en;en
hann;hann
kuetzst;kveðst
þa;þá
mundu;mundu
husin;húsin
en;en
gefa;gefa
æigi;eigi
.;.
Sidan;Síðan
helldu;héldu
þeir;þeir
j;í
haf;haf
skipinu;skipinu
ok;og
komu;komu
til;til
Leifsbuda;Leifsbúða
med;með
heilu;heilu
ok;og
holldnu;höldnu
ok;og
baru;báru
þar;þar
upp;upp
hudfỏt;húðföt
sin;sín
.;.
þeim;þeim
bar;bar
brátt;brátt
j;í
hendr;hendur
mikil;mikil
fỏng;föng
ok;og
god;góð
þuiat;því að
reydr;reyður
uar;var
þar;þar
upprekin;upprekin
będe;bæði
mikil;mikil
ok;og
god;góð
.;.
foru;fóru
til;til
sidan;síðan
ok;og
skaru;skáru
hualinn;hvalinn
.;.
skorti;skorti
þa;þá
æigi;eigi
mat;mat
.;.
fenadr;fénaður
gek;gekk
þar;þar
a;á
land;land
upp;upp
.;.
en;en
þat;það
uar;var
bratt;brátt
at;að
gradfe;graðfé
vard;varð
urigt;úrigt
ok;og
gerde;gerði
mikit;mikið
vm;um
sig;sig
.;.
þeir;þeir
hofdu;höfðu
haft;haft
med;með
ser;sér
gridung;griðung
æinn;einn
.;.
Kallzefni;Karlsefni
let;lét
fella;fella
vidu;viðu
ok;og
telgia;telgja
til;til
skips;skips
sins;síns
ok;og
lagde;lagði
vidinn;viðinn
a;á
biarg;bjarg
eitt;eitt
til;til
þurkanar;þurrkunar
.;.
þeir;þeir
hofdu;höfðu
oll;öll
gæde;gæði
af;af
landkostum;landkostum
þeim;þeim
er;er
þar;þar
voru;voru
będe;bæði
af;af
vinberium;víberjum
ok;og
allzskonar;allskonar
ueidum;veiðum
ok;og
gędum;gæðum
.;.
Eftir;Eftir
þann;þann
uetr;vetur
hinn;hinn
fysta;fyrsta
kom;kom
sumar;sumar
þa;þá
urdu;urðu
þeir;þeir
uarir;varir
vit;við
Skrælingia;Skrælingja
ok;og
for;fór
þar;þar
ór;úr
skógi;skógi
fram;fram
mikill;mikill
flokkr;flokkur
manna;manna
.;.
þar;þar
uar;var
nærr;nær
nautfe;nautfé
þeirra;þeirra
en;en
gradungr;graðungur
tok;tók
at;að
belia;belja
ok;og
gialla;gjalla
akalliga;ákaflega
hatt;hátt
en;en
þat;það
hrędduzst;hræddust
Skrælingar;Skrælingjar
ok;og
lỏgdu;lögðu
undan;undan
med;með
byrdar;byrðir
sinar;sínar
en;en
þat;það
