A;Á
Adam;Adam
Af;Af
Affrica;Afríku
Affríká;Afríka
Agli;Agli
Aglo;Öglu
Aka;Áka
Akasun;Ákason
Akr;Akur
Akri;Akri
Aldeigiuborg;Aldeigjuborg
Aldísi;Aldísi
Alexius;Alexius
Alfiuu;Alfífu
Alfiva;Alfífa
Alfivu;Alfífu
Alftafiord;Álftafjörð
Alftafirde;Álftafirði
Alftanes;Alftanes
Alföðr;Alföður
Alföðr;Alföðr
Alföður;Alföður
Alla;Alla
Allar;Allar
Aller;Allir
Allir;Allir
Allmikit;Allmikið
Allt;Allt
Allvaldr;Allvaldur
Allþröngt;Allþröngt
Almannagjá;Almannagjá
Almannía;Þýskalandi
Almenningum;Almenningum
Almáttigr;Almáttugur
Alreksstaða;Álreksstaða
Alsvinnsmálum;Alsvinnsmálum
Alsviðr;Alsviður
Alvig;Alvig
Alvilldr;Álhildur
Alviðru;Alviðru
Ambot;Ambátt
Ambrósíusmessu;Ambrósíusmessu
Amen;Amen
Amlóða;Amlóða
Andaðist;Andaðist
Andhrímnir;Andhrímnir
Andlangr;Andlangur
Andréasdrápu;Andurésardrápu
Andréass;Andurésar
Andréasson;Andrésson
Andréasson;Andréasson
Andréassonum;Andréassonum
Andrés;Andrés
Andvara;Andvara
Andvaranaut;Andvaranaut
Andvaranautr;Andvaranautur
Andvari;Andvari
Angrboða;Angurboða
Annan;Annan
Annar;Annar
Annarr;Annar
Annarr;Annarr
Annarri;Annari
Annat;Annað
Anndverðer;Önverðir
Annr;Önnur
Anriarr;Annar
Ara;Ara
Arabialandi;Arabíu
Aradóttur;Aradóttur
Arason;Arason
Arasonar;Arasonar
Arastöðum;Arastöðum
Ari;Ari
Aristes;Aristes
Arna;Arnar
Arnaldr;Arnaldur
Arnarfirði;Arnarfirði
Arnarfjarðar;Arnarfjarðar
Arnarfjarðarbotn;Arnarfjarðarbotn
Arnarfjörð;Arnarfjörð
Arnarson;Arnarson
Arnasunar;Arnarsonar
Arnasunr;Arnarsonur
Arnasunr;Árnasonur
Arnasynir;Arnarsynir
Arnbjörg;Arnbjörg
Arnbjörgu;Arnbjörgu
Arndís;Arndís
Arndísi;Arndísi
Arne;Árni
Arnfríði;Arnfríði
Arngeirssonar;Arngeirssonar
Arnmꝍðlingar;Arnmæðlingar
Arnnlaugr;Arnlaugur
Arnor;Arnór
Arnórr;Arnór
Arnórr;Arnórr
Arnórs;Arnórs
Arnórsdóttir;Arnórsdóttir
Arnórsdóttur;Arnórsdóttur
Arnórsson;Arnórsson
Arnórssonar;Arnórssonar
Aron;Aron
Aroni;Aroni
Arons;Arons
Aronshellir;Aronshellir
Aronsson;Aronsson
Aros;Árós
Arrnnlaugsfiord;Arnlaugsfjörð
Arte;Arte
Artus;Artúrs
Artus;Artúr
Askr;Askur
Aslake;Ásláki
Aslakr;Áslákur
Aslaks;Ásláks
Asloar;Oslóar
Asta;Ásta
Asto;Ástu
Astrið;Astrid
Astriðar;Ástríðar
Astriði;Ástríði
Astriðr;Ástríður
Astríðr;Astríður
Asíá;Asía
At;það
At;að
At;Að
At;At
Athra;aðhra
Atla;Atla
Atlason;Atlason
Atle;Atli
Atli;Atli
Atlꝍy;Atley
Atti;Átti
Atto;Áttu
Augu;Augu
Aurboða;Aurboða
Aurgelmi;Aurgelmi
Aurvandil;Aurvandil
Aurvandill;Aurvandill
Aurvandils;Aurvandils
Aurvandilstá;Aurvandilstá
Aurvanga;Aurvanga
Austfiordum;Austfjörðum
Austfirðingafjórðung;Austfirðingafjórðung
Austfirðingafjórðungi;Austfirðingafjórðungi
Austfirðingum;Austfirðingum
Austfjörðum;Austfjörðum
Austmaðr;Austmaður
Austmaðr;Austmaðr
Austr;Austur
AustrSaxlandi;AusturSaxlandi
Austra;Austra
Austri;Austri
Austrriki;Audturríki
Austrriki;Austurríki
Austrvegu;Austurvegu
Austrvegum;Austurvegum
Auðhumla;Auðhumla
Auði;Auði
Auðkúlustöðum;Auðkúlustöðum
Auðkýlingr;Auðkýlingur
Auðr;Auður
Auðs;Auðs
Auðunarsonar;Auðunarsonar
Auðunn;Auðunn
Ave;Ave
Azorar;Össurar
Azstriðar;Astridar
Azstriði;Ástríði
Aztrið;Ástríður
Aztrið;Astrid
Aðalraðe;Aðalráði
Aðalraðs;Aðalráðs
Aðalsteinn;Aðalsteinn
Aðalstæin;Aðalstein
Aðalstæini;Aðalsteini
Aðalstæinn;Aðalsteinn
Aðalstæins;Aðalsteins
Aðalvík;Aðalvík
Aðils;Aðils
Aðilsi;Aðilsi
Aðr;Áður
Aðra;Aðra
Aþalrað;Aðalráð
Aþalraðs;Aðalráðs
Aþalraðs;Aþalráðs
Aþalsteins;Aðalsteins
Baldeg;Baldeg
Baldr;Baldur
Baldr;Baldr
Baldri;Baldri
Baldrs;Baldrs
Baldrs;Baldurs
Baldvini;Baldvini
Ballará;Ballará
Bannda;Banda
Bar;Bar
Bardarson;Bárðarson
Barkarson;Barkarson
Barrey;Barrey
Barreyjarskáld;Barreyjarskáld
Barreyjarskálds;Barreyjarskálds
Barrvik;Barvík
Barst;Barst
Baru;Báru
Barðann;Barðann
Barðastrandar;Barðastrandar
Barðaströnd;Barðaströnd
Bassason;Bassason
Bauga;Bauga
Baugi;Baugi
Baugjörð;Baugjörð
Bauð;Bauð
Bað;Bað
Bearnne;Bjarni
Beiddi;Beiddi
Beiddust;Báðust
Beiguðr;Beiguður
Beimar;Beimar
Beimuna;Beimuna
Beiðir;Beiðir
Beli;Beli
Belja;Belja
Benedicite;Benedicite
Benedikt;Benedikt
Bera;Bera
Bergelmi;Bergelmi
Bergi;Bergi
Bergliot;Bergljót
Berglioto;Bergljótu
Bergljot;Bergljót
Bergr;Bergr
Bergr;Bergur
Bergsdóttir;Bergsdóttir
Bergsson;Bergsson
Bergssonar;Bergssonar
Bergþórr;Bergþórr
Bergþórr;Bergþór
Bergþórs;Bergþórs
Bergþórsson;Bergþórsson
Bersa;Bersa
Bersadóttur;Bersadóttur
Bersi;Bersi
Bestla;Bestla
Beðvig;Beðvig
Biarmalandz;Bjarmalands
Biarmalannz;Bjarmalands
Biarna;Bjarna
Biarne;Bjarni
Biarni;Bjarni
Biarnna;Bjarna
Biarnnar;Bjarna
Biarnne;Bjarni
Biarnni;Bjarni
Biflindi;Biflindi
Bifliði;Bifliði
Bifröst;Bifröst
Bil;Bil
Bilskirrnir;Bilskirnir
Bilskirrnis;Bilskirnis
Bindr;Bindur
Bio;Bjó
Biorn;Björn
Biornn;Björn
Birgi;Birgi
Birgir;Birgir
Birna;Birna
Birni;Birni
Birnu;Birnu
Birta;Birta
Bitru;Bitru
BitruKeli;BitruKeli
BitruKeli;BiðuruKeli
BitruOdda;BitruOdda
Biðja;Biðja
Biðr;Biður
Biðu;Biðu
Bjarkarmálum;Bjarkarmálum
Bjarki;Bjarki
Bjarna;Bjarna
Bjarnadóttur;Bjarnadóttur
Bjarnar;Bjarnar
Bjarnarhöfn;Bjarnarhöfn
Bjarnarson;Bjarnarson
Bjarnarstaði;Bjarnarstaði
Bjarnason;Bjarnason
Bjarnasonar;Bjarnasonar
Bjarni;Bjarni
Bjuggu;Bjuggu
BjÖrn;Björn
Bjáf;Bjáf
Bjár;Bjár
Björg;Björg
Björgum;Björgum
Björgyn;Björgvin
Björgyn;Björgyn
Björgynjar;Björgynjar
Björk;Björk
Björn;Björn
Blaserkr;Bláserkur
Bláskógaheiði;Bláskógaheiði
Blíkjandaböl;Blíkjandaböl
Blóðughadda;Blóðughadda
Boandenn;Bóndinn
Bodendz;Bodendz
Bokn;Bokn
Bolværkr;Bölverkur
Borgarfirde;Borgarfirði
Borgarfirði;Borgarfirði
Borgarfjarðar;Borgarfjarðar
Borgarfjörð;Borgarfjörð
Borgarþingi;Borgarþingi
Borgfirðinga;Borgfirðinga
Borgundar;Borgundar
Borr;Borr
Bors;Bors
Borssynir;Borssynir
Boði;Boði
Boðn;Boðn
Boðnar;Boðnar
Braga;Braga
Bragi;Bragi
Bragnar;Bragnar
Bragningar;Bragningar
Brand;Brand
Brandagili;Brandagili
Brandi;Brandi
Brandr;brandur
Brandr;Brandur
Brandr;Brandr
Brands;Brands
Brandsson;Brandsson
Brandssonar;Brandssonar
Brandssynir;Brandssynir
Branz;Brjáns
Bratt;Brátt
Brattahlid;Brattahlíð
Brattahlidar;Brattahlíðar
Brattahlijd;Brattahlíð
Bregða;Bregða
Breidafiardar;Breiðafjarðar
Breidafiord;Breiðafjörð
Breidafirde;Breiðafirði
Breiðablik;Breiðablik
Breiðabólstað;Breiðabólstað
Breiðafirði;Breiðafirði
